Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.1,172.29.34.202,53,39691,DNS,0.0003211498260498,2,274,51.0,188,0,0.0,0.0003211498260498
172.29.34.1,172.29.34.202,53,59807,DNS,0.0003840923309326,2,255,35.5,163,0,0.0,0.0003840923309326
172.29.34.1,172.29.34.202,53,47699,DNS,0.0003983974456787,2,317,58.5,217,0,0.0,0.0003983974456787
172.29.34.1,172.29.34.202,53,40511,DNS,0.0004200935363769,2,329,64.5,229,0,0.0,0.0004200935363769
172.29.34.202,34.120.237.76,57160,443,TCP,132.1642076969147,40,14672,437.0741470277097,2076,12032,12.91364681046668,58.98042750358582
172.29.34.1,172.29.34.217,53,59123,DNS,0.0003795623779296,2,282,42.0,183,0,0.0,0.0003795623779296
172.29.34.217,54.239.195.110,45184,443,TCP,10.29818177223206,11,754,4.271760045262083,78,0,2.304785956784997,7.602503299713135
172.29.34.217,54.239.195.110,45184,443,TCP,3.841044902801514,13,16572,414.4420074205714,1971,15714,0.5954872712729983,2.028152704238892
142.251.209.131,172.29.34.217,443,60142,TCP,0.3302054405212402,10,11604,529.3473717701827,1966,10944,0.0699820366798705,0.2298774719238281
172.29.34.216,23.200.24.120,35004,443,TCP,74.34110236167908,20,1308,2.615339366124404,66,0,4.85985406726485,10.2321343421936
172.29.34.216,2.19.96.169,41534,443,TCP,75.35791969299316,19,1242,2.679562539233233,66,0,4.874641515128819,10.21463632583618
172.29.34.217,3.168.217.41,58922,443,TCP,151.7378215789795,39,67336,1532.901267914184,4522,64762,11.23345713422096,49.09175944328308
172.29.34.217,3.168.217.41,58922,443,TCP,151.7015569210052,31,2106,4.41358229070634,78,0,12.43446698875824,49.0999493598938
172.29.34.202,3.168.217.113,55242,443,TCP,0.0001821517944335,2,195,7.5,105,63,0.0,0.0001821517944335
172.29.34.202,3.168.217.113,55242,443,TCP,0.0005109310150146,3,198,0.0,66,0,0.0002413988113403,0.0004968643188476
172.29.34.217,224.0.0.251,5353,5353,DNS,146.1024987697601,3,534,12.72792206135786,187,0,46.0502849817276,119.1015343666077
172.29.34.217,35.156.91.12,49268,443,TCP,10.78421831130981,12,820,4.149966532662911,78,0,2.784785138589158,9.7660493850708
172.29.34.217,35.156.91.12,49268,443,TCP,0.7641000747680664,9,10713,504.7087168742867,1975,10119,0.1548925255900662,0.4560182094573974
172.29.34.220,74.125.13.71,54943,443,UDP,172.8697986602783,6943,16669360,2688.672290389225,15066,16377754,0.302339800186,5.644659996032715
172.29.34.217,35.156.91.12,57302,443,TCP,0.0003383159637451,2,132,0.0,66,0,0.0,0.0003383159637451
172.29.34.216,3.162.79.56,58998,443,TCP,8.292195320129395,13,886,4.035346784185847,78,0,0.9794144075906572,3.392391443252563
172.29.34.217,18.64.78.76,35754,443,TCP,2.409517288208008,4,264,0.0,66,0,1.135544455465381,2.409074783325196
172.29.34.216,3.162.79.56,58998,443,TCP,14.25950908660889,19,20528,447.5643224327442,1971,19274,1.693717544227589,7.166984081268311
172.29.34.217,18.64.78.76,35782,443,TCP,2.398730754852295,4,264,0.0,66,0,1.130588091154173,2.398469924926758
172.29.34.1,172.29.34.202,53,34532,DNS,0.0006766319274902,2,257,30.5,159,0,0.0,0.0006766319274902
146.75.123.19,172.29.34.202,443,56178,TCP,10.38688135147095,12,820,4.149966532662911,78,0,2.213148290611666,7.590050935745239
146.75.123.19,172.29.34.202,443,56178,TCP,3.889967441558838,13,15123,526.6593388250109,1966,14265,0.5928624119249164,2.027984142303467
172.29.34.1,172.29.34.217,53,55688,DNS,0.0587115287780761,2,446,123.0,346,0,0.0,0.0587115287780761
172.29.34.1,172.29.34.217,53,33316,DNS,0.0592901706695556,2,264,32.0,164,0,0.0,0.0592901706695556
172.29.34.1,172.29.34.217,53,57859,DNS,0.0574405193328857,2,424,112.0,324,0,0.0,0.0574405193328857
172.29.34.217,54.230.235.173,32930,443,TCP,0.0118231773376464,3,202,9.428090415820634,74,0,0.005894660949707,0.0118062496185302
172.29.34.217,54.230.235.173,32954,443,TCP,10.70764303207398,11,754,4.271760045262083,78,0,2.291373573525201,7.603221416473389
172.29.34.217,54.230.235.173,32954,443,TCP,4.27229642868042,14,17849,428.4417720540521,1980,16925,0.5730914927033122,2.028298377990723
172.29.34.217,54.230.235.173,32946,443,TCP,4.265727996826172,14,17849,428.4417720540521,1980,16925,0.5729048142311047,2.028165578842163
142.251.39.228,172.29.34.202,443,34600,TCP,0.350750207901001,15,958,7.847434117099818,78,0,0.0583089642303758,0.2275443077087402
142.251.39.228,172.29.34.202,443,34614,TCP,10.04825568199158,8,544,3.464101615137754,74,0,3.387549262578395,9.731143474578856
142.251.39.228,172.29.34.202,443,34614,TCP,0.292490005493164,2,3399,265.5,1965,3267,0.0,0.292490005493164
142.251.39.228,172.29.34.202,443,34620,TCP,0.3376555442810058,16,1036,8.332916656249479,78,0,0.0558207063158261,0.2257246971130371
172.29.34.217,52.38.18.9,42780,443,TCP,12.40922427177429,12,820,4.149966532662911,78,0,2.745650978504091,9.701316118240356
142.251.39.228,172.29.34.202,443,34632,TCP,10.04438924789429,8,544,3.464101615137754,74,0,3.389600661861074,9.735721349716188
142.251.39.228,172.29.34.202,443,34632,TCP,0.2843108177185058,2,3399,265.5,1965,3267,0.0,0.2843108177185058
172.29.34.217,52.38.18.9,42780,443,TCP,2.299407005310059,9,10604,523.9639041379722,1972,10010,0.3814245789219201,1.153003454208374
142.251.39.228,172.29.34.202,443,34642,TCP,10.06364369392395,8,544,3.464101615137754,74,0,3.397749273636686,9.758246421813965
146.75.121.16,172.29.34.217,443,52324,TCP,2.393051624298096,4,264,0.0,66,0,1.12785546099717,2.392712354660034
142.251.39.228,172.29.34.202,443,34642,TCP,0.2825391292572021,2,3399,265.5,1965,3267,0.0,0.2825391292572021
146.75.121.16,172.29.34.217,443,52320,TCP,2.386549711227417,4,264,0.0,66,0,1.12480526519656,2.386231422424316
146.75.121.16,172.29.34.217,443,52334,TCP,2.423814535140991,4,264,0.0,66,0,1.14241708114009,2.423559904098511
146.75.121.16,172.29.34.217,443,52342,TCP,2.418609619140625,4,264,0.0,66,0,1.139943399689047,2.418326616287231
142.251.39.228,172.29.34.202,443,34658,TCP,0.3255698680877685,10,688,4.4,78,0,0.069034584648063,0.2244129180908203
142.251.39.228,172.29.34.202,443,34658,TCP,0.7419161796569824,12,12763,526.3654399643739,1965,11971,0.1314924168860359,0.4337472915649414
172.29.34.194,185.15.59.240,50800,443,TCP,124.3468744754791,1893,5052378,2187.542636662019,23322,4919252,1.903577546850015,58.65270781517029
172.29.34.194,185.15.59.240,50800,443,TCP,124.3382380008698,1134,89674,10.94346426502076,94,0,2.46008211719463,58.63585495948792
172.29.34.217,52.38.18.9,47308,443,TCP,0.0003230571746826,2,132,0.0,66,0,0.0,0.0003230571746826
172.29.34.216,63.140.62.236,40948,443,TCP,30.35357785224915,19,12233,705.5922680652493,2802,10979,6.867129235037938,29.99988722801208
172.29.34.216,18.238.243.33,44754,443,TCP,2.402732133865356,4,264,0.0,66,0,1.132113113047212,2.401960372924805
172.29.34.1,172.29.34.202,53,37495,DNS,0.0053725242614746,2,272,54.0,190,0,0.0,0.0053725242614746
172.29.34.1,172.29.34.202,53,54080,DNS,0.0295629501342773,2,217,26.5,135,0,0.0,0.0295629501342773
172.29.34.1,172.29.34.202,53,53612,DNS,0.0310091972351074,2,272,54.0,190,0,0.0,0.0310091972351074
172.29.34.1,172.29.34.202,53,60944,DNS,0.0206680297851562,2,218,16.0,125,0,0.0,0.0206680297851562
172.29.34.1,172.29.34.202,53,42974,DNS,0.0197274684906005,2,242,28.0,149,0,0.0,0.0197274684906005
172.29.34.1,172.29.34.202,53,53002,DNS,0.000551700592041,2,253,32.5,159,0,0.0,0.000551700592041
172.29.34.1,172.29.34.202,53,42013,DNS,0.000389814376831,2,265,38.5,171,0,0.0,0.000389814376831
172.29.34.1,172.29.34.202,53,47666,DNS,0.0193767547607421,2,332,72.0,238,0,0.0,0.0193767547607421
172.29.34.1,172.29.34.202,53,34890,DNS,0.0187432765960693,2,220,24.0,134,0,0.0,0.0187432765960693
172.29.34.1,172.29.34.202,53,33587,DNS,0.0186026096343994,2,256,42.0,170,0,0.0,0.0186026096343994
172.29.34.1,172.29.34.202,53,56062,DNS,0.0172817707061767,2,397,112.5,311,0,0.0,0.0172817707061767
172.29.34.1,172.29.34.202,53,40861,DNS,0.0005939006805419,2,259,35.5,165,0,0.0,0.0005939006805419
172.29.34.1,172.29.34.202,53,52531,DNS,0.0170562267303466,2,192,16.0,112,0,0.0,0.0170562267303466
172.29.34.1,172.29.34.202,53,44852,DNS,0.0004281997680664,2,296,63.0,211,0,0.0,0.0004281997680664
172.29.34.1,172.29.34.202,53,49782,DNS,0.0004911422729492,2,335,82.5,250,0,0.0,0.0004911422729492
172.29.34.194,34.120.208.123,40508,443,TCP,10.05110120773315,12,820,4.149966532662911,78,0,2.633686390553473,9.220205307006836
172.29.34.194,34.120.208.123,40508,443,TCP,0.7985484600067139,7,8943,459.1921033239814,1981,8481,0.1713129165971122,0.4709773063659668
172.29.34.217,54.230.235.173,32966,443,TCP,8.308919429779053,13,886,4.035346784185847,78,0,0.9902603834561288,3.457589387893677
